"No.","wind_code","sec_name"
1,000001.SZ,平安银行
2,000002.SZ,万科A
3,000004.SZ,国农科技
4,000005.SZ,世纪星源
5,000006.SZ,深振业A
6,000007.SZ,全新好
7,000008.SZ,神州高铁
8,000009.SZ,中国宝安
9,000010.SZ,*ST美丽
10,000011.SZ,深物业A
11,000012.SZ,南玻A
12,000014.SZ,沙河股份
13,000016.SZ,深康佳A
14,000017.SZ,*ST中华A
15,000019.SZ,深粮控股
16,000020.SZ,深华发A
17,000021.SZ,深科技
18,000023.SZ,深天地A
19,000025.SZ,特力A
20,000026.SZ,飞亚达
21,000027.SZ,深圳能源
22,000028.SZ,国药一致
23,000029.SZ,深深房A
24,000030.SZ,富奥股份
25,000031.SZ,大悦城
26,000032.SZ,深桑达A
27,000034.SZ,神州数码
28,000035.SZ,中国天楹
29,000036.SZ,华联控股
30,000037.SZ,深南电A
31,000038.SZ,深大通
32,000039.SZ,中集集团
33,000040.SZ,东旭蓝天
34,000042.SZ,中洲控股
35,000045.SZ,深纺织A
36,000046.SZ,泛海控股
37,000048.SZ,京基智农
38,000049.SZ,德赛电池
39,000050.SZ,深天马A
40,000055.SZ,方大集团
41,000056.SZ,皇庭国际
42,000058.SZ,深赛格
43,000059.SZ,华锦股份
44,000060.SZ,中金岭南
45,000061.SZ,农产品
46,000062.SZ,深圳华强
47,000063.SZ,中兴通讯
48,000065.SZ,北方国际
49,000066.SZ,中国长城
50,000068.SZ,华控赛格
51,000069.SZ,华侨城A
52,000070.SZ,特发信息
53,000078.SZ,海王生物
54,000088.SZ,盐田港
55,000089.SZ,深圳机场
56,000090.SZ,天健集团
57,000096.SZ,广聚能源
58,000099.SZ,中信海直
59,000100.SZ,TCL科技
60,000150.SZ,宜华健康
61,000151.SZ,中成股份
62,000153.SZ,丰原药业
63,000155.SZ,川能动力
64,000156.SZ,华数传媒
65,000157.SZ,中联重科
66,000158.SZ,常山北明
67,000159.SZ,国际实业
68,000166.SZ,申万宏源
69,000301.SZ,东方盛虹
70,000333.SZ,美的集团
71,000338.SZ,潍柴动力
72,000400.SZ,许继电气
73,000401.SZ,冀东水泥
74,000402.SZ,金融街
75,000403.SZ,双林生物
76,000404.SZ,长虹华意
77,000407.SZ,胜利股份
78,000408.SZ,*ST藏格
79,000409.SZ,ST地矿
80,000410.SZ,*ST沈机
81,000411.SZ,英特集团
82,000413.SZ,东旭光电
83,000415.SZ,渤海租赁
84,000416.SZ,民生控股
85,000417.SZ,合肥百货
86,000419.SZ,通程控股
87,000420.SZ,吉林化纤
88,000421.SZ,南京公用
89,000422.SZ,ST宜化
90,000423.SZ,东阿阿胶
91,000425.SZ,徐工机械
92,000426.SZ,兴业矿业
93,000428.SZ,华天酒店
94,000429.SZ,粤高速A
95,000430.SZ,张家界
96,000488.SZ,晨鸣纸业
97,000498.SZ,山东路桥
98,000501.SZ,鄂武商A
99,000502.SZ,绿景控股
100,000503.SZ,国新健康
101,000504.SZ,ST生物
102,000505.SZ,京粮控股
103,000506.SZ,中润资源
104,000507.SZ,珠海港
105,000509.SZ,*ST华塑
106,000510.SZ,新金路
107,000513.SZ,丽珠集团
108,000514.SZ,渝开发
109,000516.SZ,国际医学
110,000517.SZ,荣安地产
111,000518.SZ,四环生物
112,000519.SZ,中兵红箭
113,000520.SZ,长航凤凰
114,000521.SZ,长虹美菱
115,000523.SZ,广州浪奇
116,000524.SZ,岭南控股
117,000525.SZ,红太阳
118,000526.SZ,紫光学大
119,000528.SZ,柳工
120,000529.SZ,广弘控股
121,000530.SZ,冰山冷热
122,000531.SZ,穗恒运A
123,000532.SZ,华金资本
124,000533.SZ,顺钠股份
125,000534.SZ,万泽股份
126,000536.SZ,*ST华映
127,000537.SZ,广宇发展
128,000538.SZ,云南白药
129,000539.SZ,粤电力A
130,000540.SZ,中天金融
131,000541.SZ,佛山照明
132,000543.SZ,皖能电力
133,000544.SZ,中原环保
134,000545.SZ,金浦钛业
135,000546.SZ,金圆股份
